DATE_qrtr,rGDP,CPIAUCSL_PC1,PAYEMS_PC1,IndProd,WeeklyWage,Time
4/1/80,-8,14.42577,0.76342,-5.35969,-5.97015,1
7/1/80,-0.5,12.93532,-0.2555,-6.87789,-3.33333,2
10/1/80,7.7,12.53836,0.16708,-2.88017,-3.37423,3
1/1/81,8.1,11.26107,0.24608,-2.6394,-2.18069,4
4/1/81,-2.9,9.87352,0.99458,3.31916,-1.26984,5
7/1/81,4.9,10.85302,1.6624,5.40218,-3.1348,6
10/1/81,-4.3,9.58317,0.46513,-1.87015,-0.95238,7
1/1/82,-6.1,7.5815,-0.65338,-4.53217,-0.63694,8
4/1/82,1.8,6.9068,-1.44015,-5.79849,0.96463,9
7/1/82,-1.5,5.81647,-2.39438,-6.2523,0.64725,10
10/1/82,0.2,4.44365,-2.55334,-6.23687,0.32051,11
1/1/83,5.4,3.59408,-1.68102,-1.50491,0.96154,12
4/1/83,9.4,3.29976,-0.40463,2.20548,0,13
7/1/83,8.2,2.52646,1.39741,6.75601,1.28617,14
10/1/83,8.6,3.23349,3.43799,12.29694,-0.31949,15
1/1/84,8.1,4.62585,4.59256,13.62245,-0.63492,16
4/1/84,7.1,4.40484,4.95857,11.86692,-0.63694,17
7/1/84,3.9,4.2957,4.9122,8.76568,-0.63492,18
10/1/84,3.3,4.1543,4.38748,6.18424,1.28205,19
1/1/85,3.9,3.64109,3.74491,2.97039,0.31949,20
4/1/85,3.6,3.60709,3.34314,1.39967,3.52564,21
7/1/85,6.2,3.35249,2.93444,0.85226,2.23642,22
10/1/85,3,3.51377,2.63001,0.88079,1.26582,23
1/1/86,3.8,3.1054,2.34574,1.82285,2.2293,24
4/1/86,1.8,1.67858,1.95847,1.85178,1.54799,25
7/1/86,3.9,1.66821,1.86078,2.16567,2.5,26
10/1/86,2.2,1.34557,1.91442,2.97028,3.4375,27
1/1/87,3,2.03833,2.10716,3.54672,2.18069,28
4/1/87,4.4,3.69917,2.55542,4.79726,0,29
7/1/87,3.5,4.16287,2.78232,6.22079,0.60976,30
10/1/87,7,4.40555,3.06807,8.13374,-0.90634,31
1/1/88,2.1,3.96541,3.2022,7.1834,0.30488,32
4/1/88,5.4,3.97995,3.24226,6.82412,-0.91463,33
7/1/88,2.4,4.14236,3.22894,5.22254,-1.51515,34
10/1/88,5.4,4.30636,3.10151,3.28747,-1.21951,35
1/1/89,4.1,4.67451,3.1214,2.71935,-1.82371,36
4/1/89,3.1,5.16019,2.76522,1.44761,-0.92308,37
7/1/89,3,4.70588,2.30774,0.28397,-0.92308,38
10/1/89,0.8,4.62732,1.96159,-0.70875,-0.61728,39
1/1/90,4.4,5.23288,1.88294,-0.16828,-1.23839,40
4/1/90,1.5,4.58345,1.7462,0.60924,-0.93168,41
7/1/90,0.3,5.56447,1.35661,2.62628,-2.79503,42
10/1/90,-3.6,6.27648,0.51616,0.56315,-3.10559,43
1/1/91,-1.9,5.25905,-0.58152,-2.96136,-0.94044,44
4/1/91,3.2,4.84661,-1.34463,-2.63819,-2.19436,45
7/1/91,2,3.852,-1.22142,-1.73754,-0.31949,46
10/1/91,1.4,2.96536,-0.84303,0.19802,0.32051,47
